B-QTY,B-UNIT,B-NAME,I-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,OTHER,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,B-NAME,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,B-NAME,I-COMMENT,I-COMMENT,B-QTY,B-UNIT,I-COMMENT,I-COMMENT,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3,medium,onions,",",thinly,sliced,,,,,,,,,,,,,,,
B-QTY,B-COMMENT,B-NAME,B-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,,,,,,
B-QTY,OTHER,B-NAME,OTHER,B-COMMENT,I-COMMENT,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Leaves,from,6,fresh,rosemary,sprigs,(,2,heaping,tablespoons,leaves,),",",plus,extra,sprigs,and,branches,for,garnish,
B-COMMENT,I-COMMENT,B-QTY,I-COMMENT,B-NAME,B-UNIT,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,OTHER,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,
B-COMMENT,I-COMMENT,B-QTY,B-COMMENT,B-NAME,B-UNIT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,OTHER,I-COMMENT,I-COMMENT,B-UNIT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,stick,frozen,butter,",",cut,into,6,or,8,pieces,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,B-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,
B-QTY,B-COMMENT,I-COMMENT,B-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,pound,UNK,",",campanelle,or,other,torch,or,UNK,pasta,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-COMMENT,B-COMMENT,OTHER,I-COMMENT,I-COMMENT,OTHER,I-COMMENT,I-COMMENT,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,OTHER,B-COMMENT,OTHER,I-COMMENT,I-COMMENT,OTHER,I-COMMENT,I-COMMENT,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,whole,smoked,trout,",",about,7,ounces,each,",",skinned,and,boned,,,,,,,,
B-QTY,B-COMMENT,B-NAME,I-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,OTHER,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,
B-QTY,B-COMMENT,I-COMMENT,B-NAME,OTHER,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,OTHER,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,medium,onions,",",cut,in,half,lengthwise,then,sliced,thin,across,the,grain,,,,,,,
B-QTY,OTHER,B-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,OTHER,,,,,,,
B-QTY,OTHER,B-NAME,OTHER,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,ounce,summer,truffle,",",brushed,or,wiped,with,a,paper,towel,(,do,not,wash,),,,,
B-QTY,B-UNIT,B-NAME,I-NAME,OTHER,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,
B-QTY,B-UNIT,B-COMMENT,B-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,tablespoon,Dijon,mustard,,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,B-NAME,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Soft,butter,for,greasing,skillet,or,griddle,and,for,serving,,,,,,,,,,,
B-COMMENT,B-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,,
B-COMMENT,B-NAME,OTHER,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,OTHER,I-COMMENT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,6-ounce,bag,baby,spinach,",",or,12,ounces,of,bunch,spinach,",",stemmed,",",washed,",",dried,and,coarsely,chopped
OTHER,OTHER,B-NAME,B-NAME,I-NAME,OTHER,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,OTHER,B-NAME,OTHER,I-COMMENT,OTHER,I-COMMENT,OTHER,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT
B-QTY,OTHER,B-NAME,I-NAME,I-NAME,OTHER,OTHER,OTHER,B-UNIT,OTHER,OTHER,B-NAME,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,cloves,garlic,",",minced,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,OTHER,B-COMMENT,,,,,,,,,,,,,,,,
B-QTY,OTHER,B-NAME,OTHER,B-COMMENT,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
8,large,eggs,,,,,,,,,,,,,,,,,,
B-QTY,B-COMMENT,B-NAME,,,,,,,,,,,,,,,,,,
B-QTY,OTHER,B-NAME,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4-Mar,ounce,gin,,,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,,,,,,,,,,,,,,,,,,
OTHER,B-UNIT,B-NAME,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4-Jan,cup,chopped,cilantro,(,more,to,taste,),",",plus,cilantro,sprigs,for,garnish,,,,,,
B-QTY,B-UNIT,B-COMMENT,B-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,OTHER,I-COMMENT,I-COMMENT,B-NAME,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,
B-QTY,B-UNIT,OTHER,B-NAME,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,B-NAME,OTHER,OTHER,OTHER,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Large,pinch,salt,,,,,,,,,,,,,,,,,,
OTHER,B-UNIT,B-NAME,,,,,,,,,,,,,,,,,,
B-COMMENT,B-UNIT,B-NAME,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4-Jan,pound,fresh,snow,peas,",",trimmed,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,B-NAME,I-NAME,B-COMMENT,I-COMMENT,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-NAME,OTHER,B-COMMENT,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,handful,of,dried,cherries,(,about,3-Jan,cup,),,,,,,,,,,,
B-QTY,B-COMMENT,OTHER,I-COMMENT,B-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,,
B-QTY,B-UNIT,OTHER,B-NAME,I-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1$1/2,cups,sifted,cake,flour,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,B-NAME,I-NAME,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,I-COMMENT,B-NAME,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,egg,yolks,mixed,with,2,tablespoons,30,milliliters,cream,for,egg,wash,",",or,1,whole,egg,beaten,,
B-QTY,B-NAME,I-COMMENT,OTHER,I-COMMENT,B-QTY,I-COMMENT,I-COMMENT,OTHER,I-COMMENT,OTHER,B-NAME,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,B-NAME,I-COMMENT,,
B-QTY,B-NAME,I-NAME,B-COMMENT,I-COMMENT,B-QTY,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,B-NAME,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,B-NAME,I-COMMENT,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,medium,fennel,bulbs,",",trimmed,of,stems,",",with,greens,chopped,,,,,,,,,
B-QTY,OTHER,B-NAME,I-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,OTHER,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,
B-QTY,OTHER,B-NAME,B-UNIT,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,garlic,cloves,",",minced,",",plus,1,garlic,clove,",",grated,or,smashed,to,a,paste,,,,
B-QTY,B-NAME,OTHER,OTHER,I-COMMENT,OTHER,I-COMMENT,I-COMMENT,B-NAME,B-UNIT,OTHER,OTHER,OTHER,I-COMMENT,I-COMMENT,OTHER,I-COMMENT,,,,
B-QTY,B-NAME,B-UNIT,OTHER,I-COMMENT,OTHER,I-COMMENT,I-COMMENT,B-NAME,B-UNIT,OTHER,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3-Jan,cup,extra,virgin,olive,oil,",",as,needed,,,,,,,,,,,,
OTHER,B-UNIT,B-NAME,I-NAME,I-NAME,I-NAME,OTHER,B-COMMENT,I-COMMENT,,,,,,,,,,,,
OTHER,B-UNIT,B-NAME,I-NAME,I-NAME,I-NAME,OTHER,OTHER,OTHER,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3-Jan,cup,extra,virgin,olive,oil,,,,,,,,,,,,,,,
OTHER,B-UNIT,B-NAME,I-NAME,I-NAME,I-NAME,,,,,,,,,,,,,,,
OTHER,B-UNIT,B-COMMENT,I-COMMENT,B-NAME,I-NAME,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,cup,warm,water,(,105,to,115,degrees,),,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,B-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-NAME,I-NAME,I-NAME,I-NAME,I-NAME,I-NAME,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,bulb,celery,root,,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,,,,,,,,,,,,,,,,,
B-QTY,B-COMMENT,B-NAME,I-NAME,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,medium,onions,",",cut,in,half,lengthwise,then,sliced,thin,across,the,grain,,,,,,,
B-QTY,OTHER,B-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,OTHER,,,,,,,
B-QTY,OTHER,B-NAME,OTHER,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,frying,peppers,",",cut,in,half,lengthwise,",",cored,",",deribbed,and,seeded,,,,,,,
B-QTY,B-COMMENT,B-NAME,OTHER,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,OTHER,I-COMMENT,OTHER,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,
B-QTY,B-NAME,I-NAME,OTHER,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,OTHER,I-COMMENT,OTHER,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,ounces,young,Asiago,cheese,",",shaved,with,vegetable,peeler,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,B-NAME,I-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-NAME,OTHER,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,ounces,(,1,cup,),whole-wheat,pastry,flour,,,,,,,,,,,,
B-QTY,B-UNIT,OTHER,B-COMMENT,I-COMMENT,OTHER,B-NAME,I-NAME,I-NAME,,,,,,,,,,,,
B-QTY,OTHER,OTHER,B-COMMENT,I-COMMENT,OTHER,B-NAME,I-NAME,I-NAME,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,handful,of,dried,cherries,(,about,3-Jan,cup,),,,,,,,,,,,
B-QTY,B-COMMENT,OTHER,I-COMMENT,B-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,,
B-QTY,B-UNIT,OTHER,B-NAME,I-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,small,onion,",",halved,,,,,,,,,,,,,,,,
B-QTY,B-COMMENT,B-NAME,B-COMMENT,I-COMMENT,,,,,,,,,,,,,,,,
B-QTY,OTHER,B-NAME,OTHER,OTHER,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,tablespoons,oat,bran,or,wheat,germ,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-NAME,I-NAME,I-NAME,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,B-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4-Mar,cup,fine,pearl,barley,",",millet,or,orzo,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-NAME,OTHER,B-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,I-COMMENT,B-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,tablespoon,freshly,squeezed,lemon,juice,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,I-COMMENT,B-NAME,I-NAME,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-NAME,I-NAME,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1$1/2,cup,all-purpose,flour,,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,,,,,,,,,,,,,,,,,
OTHER,B-NAME,I-NAME,I-NAME,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4-Mar,teaspoons,grated,lemon,zest,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,B-NAME,I-NAME,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-NAME,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4,large,eggs,,,,,,,,,,,,,,,,,,
B-QTY,B-COMMENT,B-NAME,,,,,,,,,,,,,,,,,,
B-QTY,B-NAME,I-NAME,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,medium,onion,",",peeled,and,finely,chopped,,,,,,,,,,,,,
B-QTY,B-COMMENT,B-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,,,,
B-QTY,OTHER,B-NAME,OTHER,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,tablespoon,grated,orange,rind,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,B-NAME,I-NAME,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-NAME,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2-Jan,pound,greens,",",like,romaine,lettuce,",",washed,",",dried,and,broken,into,bite-size,pieces,,,,,
B-QTY,B-UNIT,B-NAME,OTHER,I-COMMENT,I-COMMENT,B-NAME,OTHER,I-COMMENT,OTHER,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,
B-QTY,B-UNIT,B-NAME,OTHER,I-COMMENT,I-COMMENT,I-COMMENT,OTHER,I-COMMENT,OTHER,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4-Jan,cup,extra-virgin,olive,oil,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,B-NAME,I-NAME,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-NAME,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,tablespoon,walnut,oil,or,olive,oil,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-COMMENT,I-COMMENT,B-NAME,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,I-NAME,I-NAME,I-NAME,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2-Jan,pound,mushrooms,",",sliced,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,OTHER,B-COMMENT,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,OTHER,OTHER,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,garlic,cloves,",",finely,chopped,or,pressed,through,a,garlic,press,,,,,,,,,
B-QTY,B-NAME,B-UNIT,OTHER,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,B-NAME,I-COMMENT,,,,,,,,,
B-QTY,B-NAME,I-NAME,I-NAME,I-NAME,I-NAME,I-NAME,I-NAME,I-NAME,I-NAME,I-NAME,I-NAME,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Bibb,lettuce,or,spinach,leaves,(,a,generous,handful,),",",washed,and,torn,into,smallish,pieces,,,,
B-NAME,I-NAME,I-NAME,I-NAME,I-NAME,OTHER,OTHER,I-COMMENT,I-COMMENT,OTHER,B-COMMENT,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,,,,
B-NAME,I-NAME,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,OTHER,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4-Jan,cup,80,grams,apricot,preserves,(,optional,),,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,I-COMMENT,B-NAME,I-NAME,B-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,,,
B-QTY,B-UNIT,B-COMMENT,I-COMMENT,B-NAME,I-NAME,OTHER,OTHER,OTHER,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,garlic,cloves,",",minced,",",plus,1,garlic,clove,",",grated,or,smashed,to,a,paste,,,,
B-QTY,B-NAME,OTHER,OTHER,I-COMMENT,OTHER,I-COMMENT,I-COMMENT,B-NAME,B-UNIT,OTHER,OTHER,OTHER,I-COMMENT,I-COMMENT,OTHER,I-COMMENT,,,,
B-QTY,B-NAME,B-UNIT,OTHER,I-COMMENT,OTHER,I-COMMENT,I-COMMENT,B-NAME,B-UNIT,OTHER,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Unsweetened,cocoa,powder,",",for,dusting,,,,,,,,,,,,,,,
B-NAME,B-NAME,I-NAME,B-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,,,,,,
B-NAME,I-NAME,I-NAME,OTHER,B-COMMENT,I-COMMENT,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,cup,fine,cornmeal,,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,B-NAME,,,,,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,I-NAME,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,pounds,tuna,",",2,inches,thick,",",cut,in,UNK,chunks,,,,,,,,,
B-QTY,B-UNIT,B-NAME,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,
B-QTY,B-UNIT,B-NAME,B-COMMENT,B-QTY,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2,tablespoons,capers,",",rinsed,and,coarsely,chopped,,,,,,,,,,,,,
B-QTY,B-UNIT,B-NAME,OTHER,B-COMMENT,I-COMMENT,I-COMMENT,I-COMMENT,,,,,,,,,,,,,
